run,label,update,compute_units,query_hops,inference_loops,accuracy,n,source
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,6,4,0.984375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,6,6,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,6,8,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,8,4,0.9453125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,8,6,0.0625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1600,1924079616,8,8,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-1600.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,4,4,1.0,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,4,6,0.3515625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,4,8,0.265625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,6,4,0.9921875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,6,6,0.125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,6,8,0.140625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,8,4,0.9453125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,8,6,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-fixed4-s20260913,Fixed 4 training,1664,2001125376,8,8,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-final.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,4,4,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,4,6,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,4,8,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,6,4,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,6,6,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,6,8,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,8,4,0.109375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,8,6,0.1171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,0,0,8,8,0.09375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,4,4,0.6171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,4,6,0.5703125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,4,8,0.5703125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,6,4,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,6,6,0.1171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,6,8,0.1484375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,8,4,0.0703125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,8,6,0.0546875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,200,331247616,8,8,0.0546875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-200.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,4,4,0.8671875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,4,6,0.875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,4,8,0.8515625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,6,4,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,6,6,0.0546875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,6,8,0.0546875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,8,4,0.046875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,8,6,0.046875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,400,689774592,8,8,0.0390625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-400.json
v2-depthcurriculum-s20260913,Depth curriculum training,600,1047883776,4,4,0.8359375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-600.json
v2-depthcurriculum-s20260913,Depth curriculum training,600,1047883776,4,6,0.9296875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-600.json
v2-depthcurriculum-s20260913,Depth curriculum training,600,1047883776,4,8,0.9296875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-depthcurriculum-s20260913/dev-600.json
